DESC_ID,ORIG_DESC,NORM_DESC,CHRG_CLS,FLAG,CREATE_DT,FTR1,FTR2,FTR3,FTR4
845,POCT CALCIUM IONIZED,point_of_care_testing calcium ionized,Monitoring,RETROSPECTIVE,12/07/2016,calcium,POCT,ionized,
167,HEPARIN FLUSH 2 UNIT/2,heparin flush 2_units/2,Diluent / Flush / Irrigant,RETROSPECTIVE,12/07/2016,heparin,2unit/2,flush,
3963,HB ELECTRONIC CROSSMATCH C16,electronic crossmatch c16,Laboratory,RETROSPECTIVE,13/07/2016,crossmatch,electronic,c16,
6171,ALPHA-1-ANTITRYPSIN FECES,alpha 1 antitrypsin feces,Laboratory,ONLINE,19/09/2016,alpha,feces,antitrypsin,
2343,MAG SULFATE 2G BAG,mang sulfate 2_gm bag,Pharmacy,RETROSPECTIVE,12/07/2016,bag,2g,sulfate,mag
4713,ANESTHESIA LEVEL 3,anesthesia level 3,OR / Anesthesia / Recovery Room,ONLINE,16/09/2016,anesthesia,level,,
5169,FUROSEMIDE PER 20 MG,furosemide per 20_mg,Pharmacy,ONLINE,16/09/2016,furosemide,20_mg,per,
2173,HC INTRA-CATHETER,intra catheter,Supply,RETROSPECTIVE,12/07/2016,catheter,intra,,
533,CHG POTASSIUM PLASMA/WB,potassium plasma/whole_blood,Laboratory,RETROSPECTIVE,12/07/2016,potassium,plasma,WB,
3125,PROMOTE 8OZ CAN (FC),promote 8oz can fc,Supply,RETROSPECTIVE,13/07/2016,promote,8oz,fc,canister
1867,NACL 0.9% INJ QS TO 250 ML,sodium_chloride 0.9% injection quantity_sufficient to 250_ml,Diluent / Flush / Irrigant,RETROSPECTIVE,12/07/2016,250_ml,inj,nacl,
5028,DISP: 1.660 ML; 10 %; USED NDC QTY: 1.000 PCK OF 10.000 ML VIAL CALCIUM GLUCONATE 1 GRAM IV SOLUTION CALCIUM GLUCONATE 100 MG/ML (10 %) INTRAVENOUS SOLUTION,dispensed 1.660_ml 10% used ndc quantity 1 pack of 10.000_ml vial calcium gluconate 1 gram intravenous solution calcium gluconate 100_mg/ml 10% intravenous solution,Pharmacy,ONLINE,16/09/2016,vial,ndc,disposable,solution
4163,OCULAR LUBRICANT PF 0.9ML,ocular lubricant partial_fill 0.9_ml,Supply,RETROSPECTIVE,13/07/2016,lubricant,ocular,0.9_ml,partial_fill
4952,CULTURE VRE,culture vancomycin resistant enterococci,Laboratory,ONLINE,16/09/2016,culture,vre,,
691,DETERM EXPIRED CO2,determination expired carbon_dioxide,Monitoring,RETROSPECTIVE,12/07/2016,expired,determination,CO2,
1031,OXYCODONE - ACETAMINOPHEN,oxycodone acetaminophen,Pharmacy,RETROSPECTIVE,12/07/2016,oxycodone,acetaminophen,,
1464,RNTL SUCTION WALL DAILY R,rental suction wall daily r,Supply,RETROSPECTIVE,12/07/2016,wall,suction,rental,daily
388,DORNASE ALFA 2.5MG/,dornase alpha 2.5_mg/,Plan Benefit,RETROSPECTIVE,12/07/2016,2.5mg/,alfa,dornase,
2934,CT ABD PELVIS WITH CONTRAST,computed_tomography abdomen pelvis with contrast,Radiology,RETROSPECTIVE,13/07/2016,computed_tomography,abdomen,contrast,pelvis
2118,CATHETER URETH 14FR RED RUB,catheter urethral 14fr red rub,Supply,RETROSPECTIVE,12/07/2016,catheter,red,,
4170,OT EVAL VISIT,occupational_therapy evaluation visit,PT / OT / Speech Therapy,RETROSPECTIVE,13/07/2016,evaluation,occupational_therapy,visit,
3890,FENTANYL 2.500MCG/NS 250ML BAG,fentanyl 2.500mcg/normal_saline 250_ml bag,Diluent / Flush / Irrigant,RETROSPECTIVE,13/07/2016,2.500mcg/normal_saline,fentanyl,bag,250_ml
3010,HEPARIN SODIUM  1000U-5000U INJ,heparin sodium 1000u 5000u injection,Diluent / Flush / Irrigant,RETROSPECTIVE,13/07/2016,heparin,injection,sodium,
1559,WALL SUCTION,wall suction,Supply,RETROSPECTIVE,12/07/2016,wall,suction,,
234,NS 50ML,normal_saline 50_ml,Diluent / Flush / Irrigant,RETROSPECTIVE,12/07/2016,50_ml,NS,,
1457,PROBE  SKIN TEMP,probe skin temperature,Supply,RETROSPECTIVE,12/07/2016,probe,temperature,skin,
4377,LIDOCAINE 4% SOL TOP 50ML; LIDOCAINE HCL 4% TOPICAL 50 ML BOTT,lidocaine 4% solution topical 50_ml lidocaine hydrochloride 4% topical 50_ml bottle,Pharmacy,ONLINE,24/08/2016,50_ml,hydrochloride,lidocaine,bottle
62,PUMP INFUSION (GLBL),pump infusion glbl,Capital Equipment,RETROSPECTIVE,12/07/2016,pump,glbl,infusion,
1565,YANKAUER  SUCT BULBTIP,yankauer suction bulbtip,Supply,RETROSPECTIVE,12/07/2016,suction,yankauer,bulbtip,
4243,SEQ COMP SLEEVES,sequence compressors sleeves,Supply,RETROSPECTIVE,13/07/2016,compressors,sleeves,sequence,
2385,WARFARIN 10 MG TABS,warfarin 10_mg tablets,Pharmacy,RETROSPECTIVE,12/07/2016,tabs,warfarin,10_mg,
1595,LIMB BAND ELECTRODE (SCN),limb band electrode scan,Supply,RETROSPECTIVE,12/07/2016,limb,band,electrode,scan
4541,CYTOPATH FL NONGYN SMEARS 1,cytopathology fluid nongyn smears 1,Laboratory,ONLINE,30/08/2016,smears,cytopathology,flow,nongyn
3164,SINCALIDE INJ 5MCG,sincalide injection 5_mcg,Pharmacy,RETROSPECTIVE,13/07/2016,injection,5mcg,sincalide,
336,STERILE WATER 1000ML,sterile water 1000_ml,Diluent / Flush / Irrigant,RETROSPECTIVE,12/07/2016,water,sterile,1000_ml,
4930,CT NECK SOFT TISS,computed_tomography neck soft tissue,Radiology,ONLINE,16/09/2016,ct,tiss,soft,neck
1443,OXIMETRY SPOT CHK ASSM,oximetry spot check assembly,Supply,RETROSPECTIVE,12/07/2016,assembly,oximetry,spot,check
156,HEPARIN FLUSH 10 UN/ML  1 ML,heparin flush 10_units/ml 1_ml,Diluent / Flush / Irrigant,RETROSPECTIVE,12/07/2016,heparin,1_ml,10_units/ml,flush
5890,REACHER REGULAR DISP,reacher regular disposable,Supply,ONLINE,16/09/2016,regular,disp,reacher,
4193,PLEUR EVAC INFANT/ADULT,pleural evac infant/adult,Supply,RETROSPECTIVE,13/07/2016,pleural,evac,infant,adult
5466,HCHG POC CAP BL GAS HCHG POC CAP BL GAS,point_of_care capillary blood_gas,Monitoring,ONLINE,16/09/2016,gas,poc,capillary,bl
2412,SHEATH ENGAGE 6FR 12CM 0.035,sheath engage 6fr 12cm 0.035,Supply,RETROSPECTIVE,12/07/2016,sheath,0.035,engage,
116,DISP: 5.000 ML; 100 UNIT/ML; USED NDC QTY: 50.000 PCK OF 5.000 ML SYRINGE HEPARIN LOCK FLUSH 10 UNITS SYRINGE HEPARIN  PORCINE (PF) 100 UNIT/ML IV SYRINGE,disposable 5.000_ml 100_units/ml_used ndc quantity 50 pack of 5.000_ml syringe heparin lock flush 10_units syringe heparin porcine partial_fill 100_units/ml intravenous syringe,Diluent / Flush / Irrigant,RETROSPECTIVE,12/07/2016,heparin,10_units,lock,ndc
3905,FUROSEM  20 MG-10MG/ML 2ML INJ,furosemide 20_mg 10_mg/ml 2_ml injection,Pharmacy,RETROSPECTIVE,13/07/2016,2_ml,furosemide,20_mg,injection
745,GLUCOSE REAGENT STRIP BLD,glucose reagent strip blood,Supply,RETROSPECTIVE,12/07/2016,reagent,strip,blood,glucose
3955,HB CSF CULTURE,cerebrospinal_fluid culture,Laboratory,RETROSPECTIVE,13/07/2016,culture,csf,,
1283,27200012-HBC SYRINGE PUMP S/P,hbc syringe pump specification,Supply,RETROSPECTIVE,12/07/2016,syringe,pump,hbc,
3620,64830000 - PARATHYROID HORMONE UK,parathyroid hormone uk,Laboratory,RETROSPECTIVE,13/07/2016,hormone,uk,parathyroid,
5786,PASTE PROTECTIVE WITH ZINC OXIDE,paste protective with zinc oxide,Pharmacy,ONLINE,16/09/2016,oxide,protective,paste,zinc
2154,CATHETER BICAVAL DUAL 27FR,catheter bicaval dual 27fr,Supply,RETROSPECTIVE,12/07/2016,27fr,catheter,dual,bicaval
3714,89318001 - SWALLOW GOAL 0%,swallow goal 0%,PT / OT / Speech Therapy,RETROSPECTIVE,13/07/2016,swallow,goal,0%,
240,NS IRR 1L,normal_saline irrigation 1l,Diluent / Flush / Irrigant,RETROSPECTIVE,12/07/2016,irr,1l,NS,
1021,MULTIVITAMINS 1ML LIQ; MULTIVITAMINS (THERAGRAN) LIQUID,multivitamins 1_ml liquid multivitamins theragran liquid,Pharmacy,RETROSPECTIVE,12/07/2016,theragran,1_ml,liquid,multivitamins
464,RT INO GAS PER HR (UNLISTED),respiratory_therapy inhaled_nitric_oxide gas per hour unlisted,Plan Benefit,RETROSPECTIVE,12/07/2016,hour,unlisted,RT,gas
3368,RBC SED RATE (AUTOMATED),red_blood_cell sedimentation rate automated,Laboratory,RETROSPECTIVE,13/07/2016,rbc,rate,send,automated
2863,ANCHOR/SCRW LEVEL 10,anchor/screw level 10,Implant,RETROSPECTIVE,13/07/2016,level,anchor,scrw,
1188,HB SUPERVISED COUGH & SUCTION,supervised cough & suction,Respiratory Therapy,RETROSPECTIVE,12/07/2016,suction,cough,supervised,
904,BACLOFEN 10MG TABLET; BACLOFEN 10 MG TAB,baclofen 10_mg tablet baclofen 10_mg tablet,Pharmacy,RETROSPECTIVE,12/07/2016,baclofen,tablet,10_mg,
1131,ROOM RNB3,room room_and_board,Room and Board,RETROSPECTIVE,12/07/2016,rnb3,room,,
4957,CYCLOBENZAPRINE 10 MG TABS,cyclobenzaprine 10_mg tablets,Pharmacy,ONLINE,16/09/2016,10_mg,tabs,cyclobenzaprine,
1855,ALBUTEROL SULFATE (2.5 MG/3ML) 0.083,albuterol sulfate 2.5_mg/3_ml 0.083,Pharmacy,RETROSPECTIVE,12/07/2016,albuterol,0.083,sulfate,2.5mg/3_ml
